t0,lag1_age_band,lag1_ever_rehab_to_date,lag1_ge_cat,real_admissible_share,synthetic_admissible_share,share_diff_pp,score_ranges_overlap,status
2012,65-69,0,1,0.975788,0.998178,2.239,True,PASS
2013,65-69,0,1,0.966522,0.996877,3.036,True,PASS
2014,65-69,0,1,0.941159,0.996825,5.567,True,PASS
2012,50-54,0,1,0.063853,0.209123,14.527,True,PASS
2017,65-69,0,1,0.937713,0.998172,6.046,False,FAIL
2016,65-69,0,1,0.980028,0.998537,1.851,True,PASS
2015,65-69,0,1,0.935888,0.999444,6.356,False,FAIL
2013,60-64,0,1,0.367179,0.25438,11.28,True,PASS
2018,65-69,0,1,0.926688,,,,NOT_PRESENT_AT_THIS_SCALE
2012,60-64,0,1,0.330976,0.397782,6.681,True,PASS
2012,60-64,0,2,0.456873,0.653368,19.649,True,FAIL
2014,60-64,0,1,0.319139,0.787147,46.801,True,FAIL
2013,50-54,0,1,0.048665,0.282007,23.334,True,FAIL
2012,65-69,0,2,0.958426,0.997642,3.922,True,PASS
2013,45-49,0,1,0.036519,0.040196,0.368,True,PASS
2015,60-64,0,1,0.316498,0.984949,66.845,True,FAIL
2014,70-74,0,1,0.992334,1.0,0.767,False,FAIL
2012,45-49,0,1,0.03162,0.160046,12.843,True,PASS
2012,45-49,0,2,0.034573,0.00871,2.586,True,PASS
2014,50-54,0,1,0.046799,0.129024,8.223,True,PASS
